iter	MAPE	RMSE
0	26.32741239	9649.483841
50	25.41013254	9284.5245
100	24.53103483	8940.159777
150	23.70395652	8612.52715
200	22.92387004	8305.613625
250	22.17328031	8008.158352
300	21.46514051	7731.865698
350	20.78143166	7467.171716
400	20.12903094	7216.389891
450	19.51333819	6978.184495
500	18.92098335	6750.676694
550	18.36726768	6539.143833
600	17.82522418	6337.281596
650	17.31105494	6144.514125
700	16.81984944	5959.992793
750	16.34608474	5782.440514
800	15.8882477	5617.507651
850	15.4644543	5463.135851
900	15.04525917	5313.912752
950	14.64823853	5171.344818
1000	14.25939672	5037.138481
1050	13.8963351	4910.581549
1100	13.53611942	4788.186706
1150	13.20153415	4674.350235
1200	12.88239063	4564.397482
1250	12.56941755	4459.599422
1300	12.27056618	4362.360419
1350	11.9901629	4270.44944
1400	11.72321206	4183.169753
1450	11.46822241	4099.837283
1500	11.22219551	4020.872512
1550	10.97986284	3945.856005
1600	10.75427353	3875.807325
1650	10.5270115	3807.316236
1700	10.30621231	3741.420688
1750	10.10519429	3678.343577
1800	9.912846191	3620.567247
1850	9.73087425	3564.843205
1900	9.557235265	3511.408987
1950	9.388972458	3459.828284
2000	9.218655267	3411.760042
2050	9.054317038	3362.72007
2100	8.899121496	3317.27272
2150	8.748431358	3274.087675
2200	8.596638673	3231.287819
2250	8.452353411	3190.027761
2300	8.311302884	3151.241606
2350	8.179193729	3111.461713
2400	8.047295423	3072.936996
2450	7.92227257	3036.540939
2500	7.799545473	3000.612089
2550	7.680926018	2967.016614
2600	7.557500878	2932.793713
2650	7.439557346	2901.044072
2700	7.328585603	2868.130193
2750	7.215741304	2836.756346
2800	7.103906346	2806.139373
2850	6.997034422	2775.379894
2900	6.89593291	2746.111765
2950	6.794902116	2716.427681
2999	6.703048177	2688.439515
